id,image_text
270,a girl dancing with her friends.
271,a teddy bear 
272,a black and white
273,a black and white
274,a man dancing on the street.
275,sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge.
276,a man in a suit and tie.
277,a group of people sitting around a table.
278,a man holding a gun vs a man with his hands up in the air
279,a girl reading a book vs a soccer player laying on the ground
280,a man and woman sitting at a table.
281,a man holding up a sign.
282,an open book with the title of the blog.
283,a man with tattoos on his face.
284,a group of football players.
285,a black and white
286,a man with a light saber in his hand vs a man in a black shirt 
287,a woman with a guitar.
288,an old typewriter 
289,an old man with a hat on.
290,president donald and a picture of a cartoon character.
291,a snowman and a snowman.
292,a baby in a chair 
293,two people dancing together.
294,a black and white
295,a bird in a cage vs a bird in a cage 
296,a blue background 
297,a group of kids dancing together.
298,a man 
299,a beach 
300,a road 
301,a person standing in front of a sign that reads thank for all the support for.
302,a cat that is looking at the camera.
303,a man with glasses on his face vs a man with glasses and a tie
304,a man in a white shirt with a pink background 
305,a man in a white shirt 
306,a woman with long hair.
307,two cats sleeping on a bed.
308,a black and white cat with green eyes.
309,a book and a stone.
310,a dog with a pink nose.
311,a man in a suit and tie.
312,a cartoon character 
313,a young boy with his hand on his head.
314,a man with a hat and bow tie.
315,a girl in front of a fire.
316,the front of a liquor store.
317,"a man in a suit and tie,  vs people with different facial expressions"
318,two cats sitting on a table.
319,a man with a beard and a woman with a beard.
320,a cat sitting on the floor.
321,two hands holding each other hands.
322,a painting 
323,a cat with blue eyes.
324,a boat and a lighthouse.
325,an owl sitting on top of a table.
326,a dog looking up at the camera.
327,a person wearing a yellow hat.
328,two men standing next to each other men.
329,a person walking down a street.
330,"a sign that says elroy vs a sign that says, raise your hand if you still like tequila"
331,a cat sitting on the ground.
332,"a sign that says elroy vs a sign that says, should i call you or should we resolve it?"
333,a man in uniform and a man in uniform.
334,a man and woman sitting on a couch 
335,a girl with pink hair and blue eyes.
336,a sign that says elo vs a sign that says millennias walking around like they're the place
337,a man with headphones 
338,the president and his wife in front of the capitol.
339,a person wearing a fox mask.
340,a black and white image of a moth 
341,a red bull racing car vs 
342,a young boy in a white shirt and black pants.
343,a tweet 
344,a cop talking to another cop.
345,a man with a beard 
346,a man with dread dread dread dread dread dread dread dread dread dread dread dread dread.
347,a man with a beard 
348,a man in a green caper and a photo of a man in a black vs a man in a plaid shirt
349,a hand holding a soap.
350,a cat sitting on top of a table.
351,people sitting at a table in a restaurant.
352,a pile of clothes on the floor.
353,a man holding a cake vs a cake made to look like a mermaid
354,yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo yo.
355,"a man in a blue shirt and headphones, "
356,a kitten playing with a toy.
357,a person with a hat on.
358,a man 
359,a person with a hat on.
360,bill bill bill bill bill bill bill bill bill bill bill bill bill bill bill bill.
361,a person holding a video game controller.
362,a person with a hat on.
363,a person with a hat on.
364,a person holding a bouquet.
365,a person with a hat on.
366,a person holding a laptop.
367,a person with a hat on.
368,a person with a hat on.
369,a person with a hat on.
370,a person sitting at a desk.
371,a person with a hat on.
372,a person with a hat on.
373,"a man with a hat on his head, "
374,a person with a hat on.
375,a hand holding a cell.
376,a person sitting at a desk.
377,a person with a hat on.
378,a person sitting at a desk 
379,a person with a hat on.
380,a man with a hat on his head.
381,a person with a hat on.
382,a person with a hat on vs a person with a hat in a red circle
383,a person sitting at a desk with a computer.
384,a man 
385,a person with a hat on.
386,a person with a hat on.
387,a person with a hat on.
388,a person holding a computer.
389,a man in a baseball cap laughing.
390,a man with a knife in his hand.
391,a person with a hat on.
392,one does privacy.
393,two people holding hands 
394,a man and a woman holding hands.
395,a man with glasses and a smile on his face.
396,a man in a suit and tie.
397,a person with a hat on.
398,one does not simply pays on time.
399,a man and woman holding hands 
400,a hand holding a cell.
401,a man wearing a hat and holding a guitar.
402,a woman with curly hair.
403,a man and a woman with sunglasses on.
404,a man with money on his face.
405,a stick figure holding a sign that says ` ` ` ` ` ` ` `.
406,a man in a cave 
407,a man in a white shirt.
408,"a man and woman holding hands, "
409,a green background 
410,a man in a suit and tie.
411,a man standing in front of a podium.
412,a man in a sweater 
413,a woman with long blonde hair.
414,a man in a purple suit and top hat.
415,a woman in a red dress singing into a microphone.
416,a man drinking a beer.
417,a man with his hands up in the air.
418,a football player on the field.
419,a man in a suit and tie.
420,a man 
421,a man 
422,a truck 
423,a person with a hat on.
424,a woman with her mouth open 
425,a person with a hat on.
426,a man sitting at a desk with a computer.
427,a man talking on the phone vs a man in a suit and tie
428,a person with a hat on.
429,a man with a smile on his face.
430,a person with a hat on.
431,a woman sitting at a table.
432,a person with a hat on.
433,a person with a hat on.
434,a man with a hat and
435,a person with a hat and
436,a person with a hat on.
437,a person with a hat on.
438,a person sitting at a desk.
439,a man with a mustache 
440,a sticker 
441,a person with a hat and rain.
442,a man with a beard.
443,some people playing a game.
444,a cartoon character 
445,a person with a hat on.
446,a person sitting at a desk 
447,a man with a smile on his face.
448,a car 
449,a cartoon character 
450,a cartoon character  vs a sticker
451,a cartoon character with headphones on.
452,a person with a hat on.
453,one does to simply vote you no register first.
454,a group of people sitting around a table.
455,a young boy with a smile on his face.
456,"a man driving a car  vs a man smoking a cigarette in the back seat of a cara man driving a car , a man smoking a cigarette in the back seat of a car, a man in the back seat of a car with smoke coming out of it"
457,two men talking in a room.
458,a man in a green shirt.
459,a guy 
460,a guy with a hat on.
461,a man on a tv screen.
462,a man sitting in front of a computer.
463,two people sitting on a couch.
464,a man and a woman hugging in a kitchen vs a man and woman in a bathroom
465,two people dressed as the flash and the flash vs two people dressed as the flash
466,a man in a blue shirt.
467,a girl with a big smile on her face.
468,a man with a smile on his face.
469,a man in a blue shirt sitting on a couch.
470,a man in a t - shirt that says it's asme that everything.
471,a man sitting in a chair.
472,the big bang bang bang bang bang bang bang bang bang bang bang bang bang bang.
473,a group of people 
474,a man sitting in front of a computer.
475,a man in a red shirt.
476,a man in a car.
477,a woman in a kitchen vs a man in a blue jacket
478,a man and a woman laughing.
479,a man sitting in front of a computer.
480,a woman holding a laptop.
481,a man with a big bang theory.
482,a bunch of people in a room.
483,a man in a car.
484,a woman holding a cigarette vs a woman in a blue dress
485,a person sitting at a table.
486,a group of people posing for the camera.
487,a man in a santa hat and a woman in a purple shirt.
488,two women talking to each other women.
489,three men sitting on a couch.
490,a man holding a bottle.
491,the big bang bang bang bang bang bang bang bang bang bang bang bang bang bang.
492,a woman sitting at a table  vs a woman in a kitchen
493,a woman talking to a man.
494,a group of people sitting around a table.
495,a woman in a red dress and a man in a suit.
496,a man in a blue jacket and tie.
497,a man sitting in a chair.
498,a girl with glasses and
499,a man talking on a phone.
500,a boy singing into a microphone.
501,a man in a green shirt and a man in a green shirt with a green.
502,a man with a pencil in his mouth.
503,a bunch of people with the names of their names.
504,a woman with long blonde hair 
505,a man in a blue shirt and a man in a blue shirt 
506,a man and a woman in formal attire.
507,the big bang theory.
508,a woman with long blonde hair.
509,a man sitting on a couch 
510,a group of people standing in a room.
511,a man and woman sitting on a bed.
512,a man and a woman in a room.
513,a man holding a rope.
514,two kittens playing with each other kittens.
515,a cat laying on a blanket.
516,a cat sleeping on a couch.
517,a kitten with a capt.
518,a dog and a cat.
519,a cat laying on a bed.
520,a cat sitting on a couch.
521,the best cat names vs a black and white cat
522,a black cat with green eyes.
523,a cat sitting in a bag.
524,a kitten sitting on a table.
525,a cat sitting on top of a chair vs a cat in a suit and tie
526,a cat wearing a santa hat.
527,two cats and one cat is looking at the camera.
528,a cat in a bathtub vs a cat sitting on the floor
529,a black cat 
530,two cats in a blanket.
531,a cat looking out the window.
532,a kitten playing with a toy.
533,a cat with the caption of 
534,a cat laying on top of a couch.
535,a white cat with a black and white face.
536,a cat sitting in a car.
537,a cat laying on the ground.
538,a cat with a cigarette in its mouth.
539,two kittens playing with each other kittens.
540,two cats sitting on top of each other cats.
541,a white cat with green eyes.
542,a cat with blue eyes.
543,a cat wearing glasses.
544,a cat in a box.
545,a cat sitting on top of a red couch vs a cat that is sitting in a chair
546,a cat that is looking up at the camera.
547,a cat sitting on a couch.
548,a white cat with blue eyes vs a white cat sitting on top of a bed
549,a cat sitting at a table.
550,a cat wearing a birthday hat.
551,a cat looking up at the camera.
552,a cat laying on its back on a couch.
553,a cat playing with a mouse.
554,a cat that is looking at the camera.
555,a cat with its tongue sticking out.
556,a kitten sitting in the snow.
557,a cat and a picture of a dog vs a cat 
558,a cat playing with a toy.
559,a cat laying in the grass.
560,a cat wearing a medieval costume.
561,a cat jumping in the air.
562,a kitten sleeping in someone's lap.
563,a cat sitting on top of a table.
564,a cat sleeping in a bowl.
565,a cat sitting on the floor.
566,a cat with a finger on it.
567,a kitten sitting on top of a table.
568,a cat that is standing on a table.
569,a cat sleeping on a bed vs a white cat with blue eyes
570,a bird in a nest vs a cat laying on top of a box
571,a cat sitting on a couch.
572,a cat that is looking at the camera.
573,a kitten sitting in a green bowl.
574,a cat's face.
575,a cat wearing a hoodie.
576,a cat laying on a couch.
577,a cat laying on a bed.
578,a black and white cat.
579,a cat sitting on a couch.
580,a cat with a capt.
581,a cat in the snow.
582,a cat that is looking at the camera.
583,a cat playing with a toy.
584,a cartoon character  vs a cat that is looking at the camera
585,a cat laying on top of a bed.
586,a person holding a cat.
587,a bunch of cats in a doorway.
588,a cat looking up at the camera.
589,a cat sitting on the floor.
590,a cat with a camera.
591,a cat sitting on the floor vs a cat that is looking at the camera
592,a cat sitting in a basket.
593,a cat that is looking at the camera.
594,a cat with glasses on it's face.
595,a cat sitting on top of a bed vs a cat laying on the floor
596,a kitten being held by someone.
597,a cat with its mouth open.
598,a cat sitting on top of a table.
599,a cat and a dog.
600,a cat laying on the ground.
601,a cat sitting on a couch.
602,a dog vs a grey cat with yellow eyes
603,a cat with a slice of bread.
604,a cat that is looking at the camera.
605,a cat sitting at a desk.
606,two cats laying on top of each other cats.
607,a cat that is looking at the camera.
608,two cats sleeping together.
609,a cat sitting on the floor.
610,a cat looking up at the camera.
611,a kitten sleeping in a person's hand.
612,a cat with a glove on it's head.
613,a cat sitting on top of a table.
614,a cat and a bird.
615,a cat sitting on the floor.
616,a cat that is looking at the camera.
617,a cat sitting on top of a pole.
618,a cat sitting on a bed.
619,two cats sitting on a couch.
620,a cat sitting on a couch.
621,a kitten sitting on top of a bed.
622,a cat in a plastic bag.
623,a cat sitting on a couch.
624,a cat laying on a bed.
625,a cat with a capt.
626,two cats laying on top of a cat bed.
627,a cat sitting on a table.
628,an egg on a bed vs a cat with an egg on it's head
629,a dog and a cat on a bed.
630,a cat that is laying on a bed vs a cat laying on a bed
631,a cat licking at a pizza.
632,a dog with its tongue out vs a cat with a capt
633,a man in a suit and tie vs a cat and a dog playing together
634,a baby laying on a couch next to a dog.
635,a cat playing with a mouse.
636,a cat laying on the floor.
637,three dogs and a cat on a couch.
638,two cats wearing party hats.
639,a cat wearing a birthday hat.
640,a cat sitting on top of a rock.
641,a cat that is sitting on the floor.
642,a dog and a cat in the grass.
643,a cat with a fire in the background.
644,a kitten sitting on top of a table.
645,a cat laying on the floor.
646,a cat playing with a fish.
647,a cat laying on a couch.
648,a person doing a trick.
649,a dog and a cat on a couch.
650,a black and white cat.
651,two kittens standing next to each other kittens.
652,a cat sitting on a chair.
653,a cat with flowers in it's mouth.
654,a cat that is looking at the camera.
655,a kitten sitting on top of a shelf.
656,a man holding a cat.
657,a cat with a rainbow in the background.
658,a cat 
659,a cat that is looking at the camera.
660,a cat sitting on a chair.
661,a person holding a cat.
662,a cat with its paws up vs a kitten that is looking at the camera
663,a cat wearing a sweater.
664,a cat sleeping on the ground.
665,a cat playing with a toy.
666,a cat with its tongue out.
667,two cats playing with each other cats.
668,a cat and a dog.
669,a cat that is looking at the camera.
670,a cat laying on a couch.
671,two cats playing with each other cats.
672,a kitten that is looking at the camera.
673,a cat sitting on a bed.
674,a cat.
675,a cat on a dock.
676,a cat and a box of mcdonald.
677,a cat sitting on the floor.
678,a cat sleeping on a tread.
679,a cat sitting in front of a fire.
680,two kittens sitting on a bed.
681,a black cat with its tongue out.
682,a cat that is looking up at the camera.
683,a cat with glowing eyes.
684,a cat  vs a cat looking up at the camera
685,a cat laying on the floor.
686,a cat with its mouth open.
687,a cat that is looking at the camera.
688,the avengers avengers memes.
689,a woman sitting in a chair.
690,a man and a woman in a kitchen.
691,a man in a bathtub vs a man and woman in a kitchen
692,two men and a woman in a room.
693,a man and a woman sitting at a table.
694,a man sitting on a couch talking on a phone.
695,a woman with long blonde hair vs a girl with long blonde hair 
696,a man reading a book.
697,a woman and a man in a bar vs a man and woman sitting on a couch 
698,two men talking to each other man.
699,a man in a bath tub.
700,a man sitting at a table.
701,"a woman in a room with a sign that says going to london doing, not."
702,a man in a blue shirt vs a man in a blue shirt and a woman in a red shirt 
703,"two men in a kitchen, one is talking to the other man."
704,a woman standing next to a man.
705,a woman in a red shirt and a man in a black suit with the capt.
706,an image of a person 
707,a man talking to a woman.
708,a man in a suit and tie.
709,a man hugging a woman.
710,a man wearing a santa hat.
711,a woman talking to a man vs a man and woman talking to each other people
712,a woman 
713,a man and woman sitting on a couch.
714,a man in a kitchen.
715,a man and woman talking to each other people.
716,person and person in the big bang vs person and person from the movie `
717,a man and a woman in a kitchen.
718,a man talking to another man.
719,a group of people standing in a room.
720,a man in a white shirt 
721,"two men sitting on a couch vs two people in a living roomtwo men sitting on a couch, two people in a living room, two men sitting on a couch"
722,a man in a suit and tie.
723,a man with glasses and a woman with glasses.
724,a house and a speaker on a pole vs a tree 
725,a man and a woman in a room.
726,a man sitting at a table vs a man and woman sitting on a couch
727,a man in a blue shirt vs a man talking to another man
728,two men wearing birthday hats.
729,a man with different facial expressions.
730,a man and woman hugging.
731,a man holding a gun.
732,a man wearing a cowboy hat.
733,a man giving a thumbs.
734,a man with a gun in his hand.
735,a man with a gun in his hand.
736,a man sitting in a chair.
737,a man with a beard and a red and yellow flag.
738,a man talking on a phone.
739,a man with a gun.
740,a man with long hair and beards.
741,a man with a smile on his face.
742,a man in a suit and tie laughing.
743,a man holding two guns.
744,a man with a shirt on.
745,a man in a military uniform.
746,a man in a suit smiling.
747,a man with dread dread dread dread dread dread dread dread dread dread dread dread dread.
748,a man in military uniform.
749,an older man in military uniform.
750,a man in a suit and tie.
751,a man with a thumbs up.
752,two rocks in the ocean.
753,a man with no shirt and no shirt.
754,"a purple background with a geometric pattern vs a man wearing a cowboy hata purple background with a geometric pattern, a man wearing a cowboy hat, a purple background with a geometric pattern"
755,a man holding two guns.
756,a man in a cowboy hat.
757,a man giving a thumbs up.
758,a man in the woods 
759,a man climbing on a rock.
760,a man pointing a gun at a car.
761,a man holding two guns.
762,a man with a beard 
763,a woman with her arms crossed.
764,a man wearing a cowboy hat 
765,a man in a cowboy hat  vs a man in a pirate costume with a sword
766,a man wearing a cowboy hat.
767,a man wearing a cowboy hat.
768,a man holding two guns.
769,a man holding a horse vs a man with a gun in his hand
770,a man wearing a cowboy hat.
771,a man in a white shirt vs a statue of a person holding a flower
772,a man in a suit holding a gun.
773,a man with a beard and an image of hulk.
774,a man in a purple shirt.
775,a man in a blue shirt.
776,a man in a black shirt.
777,a man in a black shirt with his arms crossed.
778,a man in uniform with an american flag.
779,a man wearing a cowboy hat.
780,two trucks driving down the road.
781,a man with a shirt on.
782,a man in a tank top.
783,a man with a beard 
784,a man wearing a cowboy hat.
785,a man with a beer in his hand.
786,a man in a suit and tie.
787,a man holding a gun.
788,a man holding a dog.
789,a smiling person 
790,"a man with glasses and a shirt that says, ` ` ` ` ` `."
791,a person standing in front of a screen 
792,a man sitting in the back of a car.
793,a man in a tuxed tuxed tuxed tuxed tuxed tuxed.
794,a child sitting on top of a car.
795,a man with a beard and a sword.
796,a man with long hair wearing a hat.
797,a man in a top hat and face paint.
798,a man in a maroon shirt.
799,a man in a black suit and white hair.
800,a man with his head in his hands.
801,a man in a suit and tie 
802,a man with a mustache and a picture of a man with a mustache.
803,a man wearing a hat and glasses vs a man wearing sunglasses and a hat
804,a cartoon of a man with a gun.
805,a man on a horse 
806,a woman's face 
807,the president talking on the phone.
808,two people walking down a road with
809,the sky with clouds in the background vs a man kneeling on a bench 
810,a group of men drinking wine.
811,a man in a red shirt pointing at the camera.
812,a man with long hair and beards.
813,a man in a hat.
814,a group of people toasting wine glasses vs a television screen with the title'the adventures of the jungle '
815,a man on a bicycle talking to a woman.
816,a car that is stuck in the mud.
817,a man in a cowboy hat.
818,two men in suits and hats.
819,a man with a guitar.
820,a woman sitting at a table.
821,a group of girls sitting in the back of a car vs a woman sitting in the back of a truck
822,a man in a white sweater.
823,the earth with the sun in the background.
824,a man with long hair and a beard.
825,a man with a hat on.
826,president obama giving a speech.
827,a black and white vs  sponge
828,an old man 
829,a man in a car 
830,a man in a red shirt pointing at the camera.
831,a man with a long beard.
832,a man with glasses 
833,one does to simy into birmingham.
834,one does not simply like wayn - one does not simply like wayn one.
835,a man with a beard that says we all make mistakes on be yourself vs a man in a suit and tie
836,a man wearing a cowboy hat.
837,a man in a tuxed tuxed tuxed tuxed tuxed tuxed.
838,people sitting around a fire.
839,two men fighting 
840,a man with glasses on.
841,a man with a funny expression on his face.
842,a person in a suit and tie.
843,a man in a leather jacket 
844,a monkey on the beach vs a horse 
845,a man playing a guitar.
846,a man sitting at a table.
847,a man with a beard and sunglasses.
848,a man wearing a cowboy hat.
849,a cat that is looking at the camera.
850,a woman with her mouth open 
851,a person riding an atv.
852,a man sitting on a bench 
853,a man holding a fish.
854,a man playing a guitar.
855,a man standing next to a tree.
856,a man 
857,a football player with a happy birthday message.
858,a person giving a thumbs.
859,a man wearing a cowboy hat vs a man sitting on a bench in front of a barn
860,a man in a suit and tie 
861,a man wearing a cowboy hat.
862,a man holding a can of soda.
863,a man playing a guitar.
864,a kid 
865,a man with long hair and a beard.
866,a man sitting in a chair.
867,a man wearing a cowboy hat.
868,a woman in an orange jacket.
869,a man  vs a man and a woman in a car
870,two women and a man wearing sunglasses.
871,a bear sitting in the grass.
872,a couple dancing in the woods.
873,a man holding a torch in his hand.
874,a man in a cowboy hat singing into a microphone.
875,donald and hillary on the same page vs hillary sanders 
876,a man with a clock on his face.
877,a young boy in a white shirt.
878,north korean leader kim jong kim jong kim jong kim jong kim jong kim jong kim.
879,a man in a suit and tie.
880,a man playing a guitar.
881,a man with no shirt and no shirt.
882,a man wearing a cowboy hat.
883,two men laughing at each other man.
884,a man wearing a cowboy hat.
885,a woman with long black hair.
886,a group of people singing together vs an old man with a hat on
887,a man with his arms crossed.
888,a man in a black hoodie and a woman in a black hoodie with.
889,a person jumping in the air.
890,a dead dead dead dead dead dead dead dead dead dead dead dead dead dead dead.
891,dead dead dead dead dead dead dead dead dead dead dead dead dead dead dead dead.
892,dead dead dead dead dead dead dead dead dead dead dead dead dead dead dead dead.
893,a dead dead dead dead dead dead dead dead dead dead dead dead dead dead dead.
894,a dead dead dead dead dead dead dead dead dead dead dead dead dead dead dead.
895,a person riding a horse.
896,dead dead dead dead dead dead dead dead dead dead dead dead dead dead dead dead.
